ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,VPH_C_ELEC,VPH_INTER,VPH_CEL,VPH_STVP,VPH_PC,pct_internet,conectividad_alta
17,Morelos,35,Xoxocotla,21,Loma Linda,19.0,18.0,22.0,3.0,1.0,94.73684210526315,1
17,Morelos,35,Xoxocotla,22,Los Huajes,45.0,12.0,28.0,2.0,0.0,26.666666666666668,0
17,Morelos,35,Xoxocotla,23,Prolongación Benito Juárez,113.0,5.0,94.0,5.0,3.0,4.424778761061947,0
17,Morelos,35,Xoxocotla,25,Tapalehui,34.0,8.0,28.0,4.0,5.0,23.52941176470588,0
17,Morelos,35,Xoxocotla,26,Techichilco,9.0,1.0,4.0,0.0,0.0,11.11111111111111,0
17,Morelos,35,Xoxocotla,27,Tecomulco,59.0,2.0,42.0,6.0,1.0,3.389830508474576,0
17,Morelos,35,Xoxocotla,28,Tierra Alta,0.0,0.0,0.0,0.0,0.0,0.0,0
17,Morelos,35,Xoxocotla,29,Palo Prieto,10.0,3.0,12.0,1.0,3.0,30.0,1
17,Morelos,35,Xoxocotla,30,Campo San Juanes,0.0,0.0,0.0,0.0,0.0,0.0,0
17,Morelos,36,Hueyapan,1,Barrio de San Miguel,1820.0,437.0,1563.0,346.0,185.0,24.01098901098901,0
17,Morelos,36,Hueyapan,2,Ahuazutlán,0.0,0.0,0.0,0.0,0.0,0.0,0
17,Morelos,36,Hueyapan,3,Amialtenco,6.0,0.0,4.0,2.0,0.0,0.0,0
17,Morelos,36,Hueyapan,5,Cerro de Chiconquíhuitl,39.0,1.0,36.0,3.0,1.0,2.564102564102564,0
17,Morelos,36,Hueyapan,6,El Chilar Tepeyehualco,7.0,0.0,7.0,2.0,0.0,0.0,0
17,Morelos,36,Hueyapan,7,El Chupamirto,4.0,0.0,4.0,0.0,0.0,0.0,0
17,Morelos,36,Hueyapan,8,El Montecillo,0.0,0.0,0.0,0.0,0.0,0.0,0
17,Morelos,36,Hueyapan,9,Las Mesas,12.0,1.0,11.0,1.0,1.0,8.333333333333332,0
17,Morelos,36,Hueyapan,10,Matlacotla,11.0,1.0,9.0,2.0,1.0,9.090909090909092,0
17,Morelos,36,Hueyapan,13,Olivar,19.0,2.0,15.0,7.0,2.0,10.526315789473683,0
17,Morelos,36,Hueyapan,14,Tlalcomulco,20.0,7.0,20.0,1.0,2.0,35.0,1
17,Morelos,36,Hueyapan,15,Tepetomayo,0.0,0.0,0.0,0.0,0.0,0.0,0
17,Morelos,36,Hueyapan,17,Tlaquexchpanco,0.0,0.0,0.0,0.0,0.0,0.0,0
17,Morelos,36,Hueyapan,19,Yiganechxco,0.0,0.0,0.0,0.0,0.0,0.0,0
