ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,VPH_C_ELEC,VPH_INTER,VPH_CEL,VPH_STVP,VPH_PC
17,Morelos,002,Atlatlahucan,0078,Colonia Alta Vista,13,3,14,8,0
17,Morelos,002,Atlatlahucan,0079,Campo Tlacotlaco,43,8,43,15,6
17,Morelos,002,Atlatlahucan,0080,Linda Vista,5,2,6,1,0
17,Morelos,002,Atlatlahucan,0081,Pilalpuente [Rancho],14,2,13,5,2
17,Morelos,002,Atlatlahucan,9998,Localidades de una vivienda,*,*,*,*,*
17,Morelos,002,Atlatlahucan,9999,Localidades de dos viviendas,4,2,5,2,2
17,Morelos,003,Axochiapan,0000,Total del Municipio,9848,3304,8487,2535,1881
17,Morelos,003,Axochiapan,0001,Axochiapan,4834,1968,4255,1382,1105
17,Morelos,003,Axochiapan,0002,Ahuaxtla,57,13,50,7,11
17,Morelos,003,Axochiapan,0003,Atlacahualoya,937,229,775,233,104
17,Morelos,003,Axochiapan,0004,Los Carros,11,0,8,6,0
17,Morelos,003,Axochiapan,0005,Cayehuacán,75,21,63,25,7
17,Morelos,003,Axochiapan,0006,Joaquín Camaño,121,43,92,62,27
17,Morelos,003,Axochiapan,0007,Marcelino Rodríguez (San Ignacio),546,182,441,140,88
17,Morelos,003,Axochiapan,0008,Palo Blanco,60,4,55,9,5
17,Morelos,003,Axochiapan,0009,Quebrantadero,758,356,645,261,265
17,Morelos,003,Axochiapan,0010,Telixtac,1305,207,1078,180,96
17,Morelos,003,Axochiapan,0011,Tlalayo,206,85,172,44,42
17,Morelos,003,Axochiapan,0014,Coayuca Colonia de Morelos,11,2,10,4,0
17,Morelos,003,Axochiapan,0015,Los Gavilanes,31,4,25,5,4
17,Morelos,003,Axochiapan,0016,Las Tinajas,*,*,*,*,*
17,Morelos,003,Axochiapan,0017,La Nopalera,73,18,65,22,7
17,Morelos,003,Axochiapan,0018,El Papagayo,34,9,29,3,7
17,Morelos,003,Axochiapan,0020,La Toma,68,12,63,4,13
17,Morelos,003,Axochiapan,0021,Colonia los Laureles,45,10,41,12,10
17,Morelos,003,Axochiapan,0022,La Estación,*,*,*,*,*
17,Morelos,003,Axochiapan,0024,El Puente del Pajarito,*,*,*,*,*
17,Morelos,003,Axochiapan,0026,5 de Mayo,24,6,25,3,1
17,Morelos,003,Axochiapan,0028,Juan Ortega Sánchez,16,4,17,5,1
17,Morelos,003,Axochiapan,0029,Unidad Habitacional Benito Juárez,42,15,40,13,11
17,Morelos,003,Axochiapan,0036,Barranca del Ahuehuete,*,*,*,*,*
17,Morelos,003,Axochiapan,0037,Campo el Coyul,*,*,*,*,*
17,Morelos,003,Axochiapan,0039,Campo el Pajarito (Sistema de Agua Potable),*,*,*,*,*
17,Morelos,003,Axochiapan,0041,Campo la Zacatera,51,7,46,4,6
17,Morelos,003,Axochiapan,0042,Sistema Uno de Bombeo,*,*,*,*,*
17,Morelos,003,Axochiapan,0044,Santa María,2,0,4,0,0
17,Morelos,003,Axochiapan,0045,La Huerta (La Bomba Dos),6,0,6,2,0
17,Morelos,003,Axochiapan,0046,La Joya del Zompa,*,*,*,*,*
17,Morelos,003,Axochiapan,0048,Los Linderos (Fábrica de Yeso),5,0,6,0,0
